x_acc,y_acc,z_acc
-0.145,-0.492,0.895
-0.125,-0.543,0.875
-0.105,-0.566,0.879
-0.086,-0.574,0.898
-0.086,-0.578,0.922
-0.086,-0.598,0.934
-0.07,-0.598,0.938
-0.039,-0.578,0.945
-0.008,-0.555,0.945
0.004,-0.535,0.938
0.004,-0.523,0.922
0.008,-0.523,0.91
0.016,-0.52,0.891
0.027,-0.523,0.879
0.027,-0.523,0.855
0.035,-0.535,0.828
0.039,-0.543,0.801
0.051,-0.551,0.766
0.07,-0.559,0.738
0.082,-0.563,0.715
0.082,-0.563,0.695
0.086,-0.566,0.688
0.074,-0.563,0.676
0.055,-0.566,0.668
0.035,-0.586,0.648
0.02,-0.609,0.625
0.012,-0.645,0.605
-0.004,-0.68,0.602
-0.012,-0.707,0.605
-0.023,-0.719,0.621
-0.035,-0.73,0.648
-0.039,-0.727,0.68
-0.043,-0.715,0.723
-0.055,-0.688,0.754
-0.07,-0.68,0.801
-0.078,-0.688,0.832
-0.07,-0.73,0.859
-0.082,-0.789,0.883
-0.102,-0.836,0.926
-0.113,-0.879,0.965
-0.102,-0.887,1.0
-0.051,-0.879,1.051
0.012,-0.828,1.078
0.074,-0.758,1.098
0.082,-0.668,1.082
0.074,-0.59,1.039
0.094,-0.531,0.984
0.129,-0.48,0.934
0.156,-0.434,0.906
0.176,-0.402,0.902
0.172,-0.395,0.922
0.16,-0.414,0.953
0.152,-0.457,0.977
0.16,-0.5,0.98
0.168,-0.531,0.961
0.176,-0.547,0.941
0.188,-0.543,0.918
0.195,-0.539,0.906
0.184,-0.551,0.902
0.152,-0.57,0.895
0.129,-0.57,0.895
0.133,-0.551,0.898
0.152,-0.531,0.883
0.152,-0.527,0.855
0.137,-0.547,0.816
0.105,-0.559,0.793
0.082,-0.559,0.773
0.066,-0.555,0.762
0.043,-0.547,0.742
0.023,-0.547,0.723
0.016,-0.551,0.699
0.023,-0.559,0.68
0.039,-0.566,0.668
0.055,-0.574,0.648
0.059,-0.578,0.625
0.047,-0.594,0.613
0.047,-0.617,0.602
0.059,-0.629,0.605
0.074,-0.637,0.617
0.098,-0.648,0.641
0.129,-0.668,0.676
0.145,-0.707,0.715
0.148,-0.746,0.75
0.148,-0.781,0.785
0.145,-0.793,0.82
0.141,-0.777,0.855
0.129,-0.762,0.879
0.105,-0.766,0.891
0.074,-0.773,0.898
0.059,-0.781,0.91
0.047,-0.793,0.922
0.031,-0.797,0.941
0.023,-0.82,0.949
-0.004,-0.836,0.961
-0.074,-0.816,0.984
-0.098,-0.742,1.008
-0.074,-0.668,1.004
-0.078,-0.609,0.973
-0.098,-0.563,0.945
-0.098,-0.508,0.934
-0.082,-0.48,0.91
-0.078,-0.469,0.906
-0.098,-0.461,0.91
-0.125,-0.461,0.922
-0.156,-0.484,0.922
-0.184,-0.508,0.914
-0.188,-0.527,0.895
-0.16,-0.547,0.895
-0.109,-0.559,0.898
-0.07,-0.578,0.898
-0.035,-0.59,0.906
-0.012,-0.578,0.918
0.004,-0.563,0.922
0.0,-0.547,0.922
-0.016,-0.539,0.918
-0.023,-0.539,0.906
-0.02,-0.539,0.898
-0.012,-0.531,0.879
0.0,-0.52,0.855
0.008,-0.52,0.832
0.016,-0.52,0.809
0.016,-0.531,0.789
0.023,-0.543,0.762
0.023,-0.555,0.742
0.023,-0.566,0.727
0.023,-0.578,0.699
0.023,-0.59,0.688
0.027,-0.598,0.68
0.039,-0.605,0.668
0.035,-0.609,0.668
0.031,-0.605,0.672
0.02,-0.602,0.668
0.008,-0.602,0.672
0.0,-0.609,0.668
-0.008,-0.621,0.66
-0.023,-0.617,0.664
-0.051,-0.629,0.672
-0.063,-0.66,0.676
-0.059,-0.707,0.691
-0.047,-0.773,0.703
-0.039,-0.832,0.723
-0.055,-0.887,0.75
-0.078,-0.918,0.789
-0.055,-0.945,0.879
0.004,-0.938,0.977
0.063,-0.891,1.063
0.059,-0.813,1.133
0.043,-0.742,1.156
0.035,-0.668,1.129
0.039,-0.613,1.078
0.059,-0.566,1.016
0.078,-0.508,0.977
0.102,-0.461,0.941
0.125,-0.438,0.926
0.156,-0.453,0.926
0.191,-0.484,0.914
0.203,-0.512,0.898
0.191,-0.512,0.898
0.188,-0.5,0.887
0.199,-0.488,0.879
0.203,-0.508,0.883
0.199,-0.547,0.887
0.168,-0.59,0.891
0.141,-0.605,0.898
0.145,-0.59,0.906
0.168,-0.57,0.902
0.176,-0.57,0.875
0.164,-0.582,0.84
0.145,-0.586,0.801
0.129,-0.574,0.773
0.109,-0.563,0.75
0.098,-0.547,0.73
0.074,-0.543,0.703
0.066,-0.547,0.688
0.066,-0.566,0.68
0.07,-0.586,0.668
0.09,-0.605,0.664
0.117,-0.629,0.66
0.129,-0.645,0.652
0.129,-0.652,0.66
0.125,-0.66,0.672
0.117,-0.66,0.68
0.105,-0.645,0.695
0.094,-0.641,0.711
0.074,-0.641,0.723
0.078,-0.66,0.727
0.098,-0.688,0.738
0.117,-0.715,0.742
0.141,-0.711,0.762
0.145,-0.695,0.785
0.145,-0.684,0.801
0.141,-0.691,0.82
0.125,-0.715,0.836
0.129,-0.754,0.852
0.121,-0.781,0.863
0.105,-0.797,0.871
0.102,-0.809,0.863
0.125,-0.828,0.844
0.133,-0.848,0.824
0.094,-0.855,0.84
0.016,-0.824,0.871
-0.012,-0.754,0.914
-0.02,-0.699,0.945
-0.078,-0.652,0.977
-0.145,-0.582,1.0
-0.172,-0.504,1.027
-0.18,-0.453,1.039
-0.195,-0.438,1.039
-0.195,-0.449,1.016
-0.168,-0.465,0.977
-0.137,-0.492,0.934
-0.109,-0.516,0.887
-0.086,-0.535,0.855
-0.082,-0.551,0.852
-0.09,-0.563,0.863
-0.102,-0.578,0.883
-0.105,-0.578,0.898
-0.098,-0.563,0.898
-0.066,-0.551,0.891
-0.027,-0.539,0.879
-0.004,-0.531,0.867
0.008,-0.527,0.859
0.02,-0.523,0.855
0.02,-0.531,0.84
0.023,-0.539,0.828
0.023,-0.547,0.813
0.027,-0.559,0.793
0.035,-0.566,0.758
0.047,-0.57,0.734
0.047,-0.57,0.711
0.043,-0.57,0.703
0.035,-0.578,0.699
0.027,-0.59,0.691
0.023,-0.594,0.699
0.023,-0.598,0.703
0.012,-0.602,0.707
0.0,-0.605,0.703
-0.004,-0.609,0.695
-0.008,-0.617,0.691
-0.02,-0.621,0.684
-0.031,-0.629,0.688
-0.043,-0.648,0.695
-0.063,-0.668,0.703
-0.063,-0.703,0.715
-0.063,-0.711,0.727
-0.07,-0.703,0.742
-0.074,-0.699,0.754
-0.074,-0.695,0.77
-0.059,-0.703,0.777
-0.063,-0.742,0.805
-0.059,-0.785,0.82
-0.063,-0.832,0.84
-0.059,-0.871,0.863
-0.059,-0.891,0.891
-0.035,-0.875,0.934
0.0,-0.809,0.984
0.016,-0.738,1.023
0.02,-0.68,1.043
0.043,-0.617,1.031
0.074,-0.555,1.023
