x_acc,y_acc,z_acc
0.078,-0.441,0.734
0.078,-0.449,0.727
0.082,-0.453,0.73
0.086,-0.453,0.727
0.09,-0.457,0.723
0.09,-0.469,0.727
0.094,-0.48,0.723
0.109,-0.488,0.727
0.141,-0.496,0.73
0.168,-0.512,0.734
0.184,-0.527,0.738
0.188,-0.535,0.746
0.176,-0.535,0.766
0.172,-0.535,0.777
0.188,-0.535,0.805
0.219,-0.531,0.832
0.254,-0.535,0.867
0.277,-0.559,0.891
0.297,-0.594,0.895
0.305,-0.621,0.887
0.313,-0.633,0.871
0.297,-0.645,0.84
0.266,-0.645,0.789
0.234,-0.664,0.766
0.188,-0.766,0.758
0.063,-0.977,0.758
-0.133,-1.125,0.77
-0.18,-1.031,0.816
-0.105,-0.766,0.883
-0.055,-0.52,0.965
-0.023,-0.367,1.066
0.035,-0.328,1.129
0.09,-0.375,1.18
0.125,-0.477,1.203
0.109,-0.578,1.199
0.098,-0.621,1.184
0.125,-0.598,1.172
0.172,-0.559,1.152
0.191,-0.539,1.113
0.191,-0.547,1.066
0.188,-0.551,1.016
0.176,-0.531,0.961
0.168,-0.496,0.902
0.16,-0.465,0.848
0.152,-0.453,0.797
0.148,-0.453,0.758
0.145,-0.461,0.715
0.141,-0.453,0.684
0.141,-0.441,0.664
0.152,-0.426,0.66
0.168,-0.406,0.66
0.18,-0.391,0.668
0.184,-0.391,0.68
0.191,-0.398,0.691
0.191,-0.41,0.711
0.184,-0.418,0.727
0.176,-0.422,0.75
0.16,-0.426,0.77
0.145,-0.438,0.797
0.121,-0.453,0.824
0.098,-0.469,0.848
0.074,-0.488,0.863
0.059,-0.512,0.891
0.031,-0.523,0.914
0.012,-0.527,0.926
0.0,-0.539,0.938
0.004,-0.566,0.953
0.016,-0.586,0.957
0.035,-0.59,0.949
0.039,-0.594,0.938
0.043,-0.613,0.93
0.066,-0.645,0.898
0.082,-0.672,0.898
0.129,-0.766,0.941
0.215,-0.895,0.945
0.316,-0.883,0.895
0.379,-0.715,0.926
0.414,-0.59,0.98
0.453,-0.52,0.984
0.477,-0.418,0.992
0.457,-0.301,1.027
0.398,-0.238,1.055
0.324,-0.281,1.066
0.27,-0.375,1.063
0.227,-0.449,1.051
0.176,-0.469,1.043
0.141,-0.461,1.051
0.141,-0.441,1.055
0.156,-0.438,1.055
0.176,-0.445,1.043
0.191,-0.438,1.027
0.195,-0.414,0.988
0.191,-0.383,0.953
0.172,-0.359,0.922
0.148,-0.359,0.898
0.125,-0.359,0.879
0.109,-0.371,0.867
0.094,-0.391,0.855
0.09,-0.391,0.836
0.09,-0.398,0.82
0.094,-0.395,0.813
0.105,-0.391,0.797
0.113,-0.383,0.789
0.113,-0.395,0.789
0.113,-0.406,0.77
0.117,-0.422,0.762
0.129,-0.449,0.754
0.145,-0.457,0.754
0.164,-0.461,0.75
0.176,-0.465,0.746
0.188,-0.477,0.746
0.188,-0.488,0.754
0.188,-0.508,0.758
0.176,-0.512,0.777
0.184,-0.496,0.805
0.199,-0.477,0.828
0.223,-0.461,0.855
0.242,-0.469,0.879
0.258,-0.488,0.902
0.273,-0.504,0.914
0.285,-0.512,0.914
0.289,-0.535,0.898
0.277,-0.547,0.859
0.262,-0.555,0.813
0.238,-0.574,0.773
0.215,-0.676,0.793
0.102,-0.879,0.82
-0.109,-1.016,0.875
-0.207,-0.941,0.945
-0.148,-0.734,0.996
-0.066,-0.527,1.059
0.012,-0.355,1.145
0.082,-0.254,1.191
0.145,-0.25,1.242
0.156,-0.348,1.277
0.121,-0.492,1.262
0.082,-0.574,1.207
0.082,-0.551,1.176
0.102,-0.516,1.141
0.109,-0.523,1.086
0.113,-0.551,1.047
0.125,-0.551,1.004
0.148,-0.516,0.969
0.172,-0.457,0.945
0.18,-0.398,0.91
0.176,-0.359,0.879
0.164,-0.344,0.848
0.156,-0.344,0.813
0.16,-0.352,0.781
0.164,-0.352,0.754
0.164,-0.355,0.75
0.164,-0.352,0.746
0.176,-0.344,0.742
0.199,-0.344,0.75
0.211,-0.336,0.754
0.215,-0.34,0.77
0.215,-0.348,0.785
0.199,-0.355,0.809
0.176,-0.363,0.836
0.148,-0.375,0.859
0.121,-0.387,0.867
0.094,-0.402,0.883
0.063,-0.426,0.891
0.043,-0.453,0.895
0.016,-0.484,0.887
0.0,-0.5,0.891
-0.016,-0.504,0.898
-0.02,-0.508,0.918
-0.016,-0.516,0.93
0.0,-0.512,0.945
0.016,-0.508,0.953
0.027,-0.5,0.957
0.035,-0.492,0.941
0.059,-0.496,0.93
0.066,-0.504,0.914
0.082,-0.527,0.891
0.113,-0.586,0.902
0.188,-0.707,0.973
0.305,-0.816,0.969
0.41,-0.758,0.934
0.445,-0.613,0.984
0.457,-0.488,1.004
0.449,-0.406,1.004
0.426,-0.32,1.02
0.371,-0.242,1.055
0.301,-0.254,1.082
0.242,-0.34,1.078
0.199,-0.434,1.059
0.164,-0.492,1.047
0.141,-0.48,1.043
0.129,-0.441,1.039
0.133,-0.414,1.055
0.137,-0.406,1.063
0.145,-0.414,1.066
0.148,-0.395,1.066
0.148,-0.367,1.055
0.141,-0.336,1.039
0.129,-0.316,1.012
0.121,-0.309,1.0
0.102,-0.324,0.98
0.09,-0.336,0.965
0.082,-0.328,0.953
0.078,-0.32,0.934
0.074,-0.316,0.918
0.07,-0.316,0.906
0.066,-0.324,0.891
0.07,-0.328,0.863
0.082,-0.328,0.844
0.094,-0.34,0.828
0.109,-0.348,0.82
0.121,-0.359,0.82
0.137,-0.363,0.82
0.152,-0.363,0.82
0.156,-0.363,0.82
0.18,-0.359,0.828
0.195,-0.355,0.836
0.211,-0.363,0.844
0.23,-0.383,0.852
0.227,-0.402,0.855
0.223,-0.41,0.859
0.215,-0.418,0.871
0.215,-0.418,0.879
0.207,-0.41,0.887
0.211,-0.398,0.906
0.215,-0.391,0.914
0.223,-0.391,0.926
0.234,-0.391,0.934
0.258,-0.387,0.941
0.281,-0.379,0.941
0.289,-0.383,0.934
0.293,-0.391,0.926
0.301,-0.398,0.906
0.293,-0.43,0.883
0.285,-0.527,0.898
0.211,-0.684,0.922
0.051,-0.777,0.934
-0.063,-0.738,0.953
-0.074,-0.609,0.98
-0.051,-0.453,1.012
-0.023,-0.293,1.059
0.008,-0.191,1.117
0.008,-0.188,1.164
-0.016,-0.254,1.184
-0.035,-0.301,1.203
-0.027,-0.316,1.211
0.008,-0.309,1.207
0.035,-0.297,1.188
0.039,-0.313,1.172
0.047,-0.34,1.152
0.078,-0.32,1.137
0.113,-0.277,1.117
0.137,-0.234,1.098
0.137,-0.207,1.07
0.121,-0.188,1.035
0.105,-0.16,1.008
0.105,-0.141,0.984
0.113,-0.133,0.969
0.113,-0.125,0.957
0.117,-0.117,0.949
0.117,-0.105,0.938
0.125,-0.105,0.934
0.133,-0.109,0.934
0.137,-0.121,0.941
0.141,-0.133,0.941
0.145,-0.145,0.949
0.141,-0.16,0.957
0.137,-0.172,0.965
0.125,-0.184,0.977
0.109,-0.191,0.98
0.105,-0.199,0.988
0.098,-0.199,1.0
0.105,-0.195,1.012
0.105,-0.191,1.012
0.113,-0.199,1.02
0.098,-0.207,1.008
0.094,-0.207,1.008
0.09,-0.207,1.004
0.063,-0.215,1.004
0.035,-0.234,1.004
0.012,-0.246,1.004
-0.012,-0.27,1.008
-0.023,-0.285,1.012
-0.023,-0.297,1.008
-0.012,-0.305,1.012
0.012,-0.309,1.012
0.039,-0.305,1.016
0.059,-0.313,1.023
0.09,-0.332,1.016
0.121,-0.359,0.996
0.137,-0.383,0.973
0.156,-0.391,0.941
0.172,-0.383,0.922
0.215,-0.391,0.957
0.297,-0.418,1.008
0.371,-0.402,1.047
0.414,-0.332,1.109
0.457,-0.273,1.16
0.492,-0.219,1.164
0.469,-0.133,1.137
0.406,-0.055,1.105
0.355,-0.039,1.082
0.309,-0.09,1.055
0.246,-0.141,1.023
0.164,-0.145,1.012
0.078,-0.16,1.008
0.02,-0.195,1.023
-0.016,-0.234,1.047
-0.023,-0.254,1.078
-0.02,-0.234,1.109
-0.004,-0.211,1.125
0.012,-0.184,1.129
0.023,-0.172,1.129
0.02,-0.176,1.117
0.004,-0.18,1.102
-0.023,-0.191,1.086
-0.043,-0.191,1.07
-0.059,-0.195,1.055
-0.078,-0.207,1.043
-0.094,-0.215,1.023
-0.098,-0.215,1.012
-0.094,-0.219,1.004
-0.078,-0.215,0.996
-0.078,-0.207,0.988
-0.066,-0.227,0.98
-0.055,-0.23,0.969
-0.043,-0.234,0.965
-0.039,-0.242,0.969
-0.023,-0.254,0.973
-0.012,-0.27,0.988
-0.004,-0.273,1.0
-0.004,-0.27,1.008
0.0,-0.258,1.008
0.004,-0.254,1.004
0.008,-0.254,1.004
0.008,-0.258,1.004
0.004,-0.254,0.996
0.004,-0.258,1.0
0.008,-0.262,0.996
0.008,-0.27,1.004
0.031,-0.273,1.016
0.082,-0.273,1.023
0.137,-0.277,1.035
0.168,-0.293,1.027
0.172,-0.32,1.016
0.16,-0.348,1.0
0.152,-0.371,0.984
0.148,-0.379,0.965
0.145,-0.391,0.938
0.145,-0.41,0.914
0.125,-0.445,0.906
0.074,-0.5,0.922
-0.008,-0.555,0.957
-0.086,-0.566,0.98
-0.105,-0.547,1.0
-0.074,-0.516,1.016
-0.035,-0.484,1.027
-0.016,-0.453,1.02
0.004,-0.438,0.992
0.023,-0.434,0.973
0.02,-0.422,0.941
-0.016,-0.414,0.91
-0.059,-0.391,0.879
-0.094,-0.348,0.871
-0.117,-0.32,0.863
-0.133,-0.313,0.871
-0.145,-0.328,0.898
-0.145,-0.355,0.922
-0.141,-0.363,0.953
-0.109,-0.348,0.984
-0.07,-0.344,1.008
-0.043,-0.352,1.035
-0.016,-0.348,1.059
-0.004,-0.352,1.07
0.023,-0.352,1.082
0.031,-0.34,1.082
0.02,-0.344,1.078
0.0,-0.355,1.074
-0.016,-0.375,1.051
-0.023,-0.387,1.02
-0.031,-0.391,0.996
-0.023,-0.387,0.977
-0.027,-0.387,0.961
-0.039,-0.387,0.938
-0.051,-0.387,0.922
-0.047,-0.391,0.91
-0.047,-0.383,0.902
-0.047,-0.387,0.895
-0.043,-0.391,0.883
-0.027,-0.402,0.883
-0.012,-0.402,0.879
-0.008,-0.406,0.879
-0.008,-0.414,0.875
-0.023,-0.426,0.887
-0.047,-0.43,0.895
-0.066,-0.438,0.906
-0.09,-0.453,0.922
-0.094,-0.469,0.945
-0.082,-0.492,0.965
-0.074,-0.496,0.98
-0.059,-0.512,0.992
-0.043,-0.527,1.0
-0.039,-0.543,1.008
-0.039,-0.555,1.004
-0.035,-0.57,1.0
-0.027,-0.574,0.984
-0.02,-0.586,0.965
-0.016,-0.641,0.965
0.0,-0.734,0.984
0.055,-0.762,0.992
0.152,-0.648,1.012
0.203,-0.516,1.055
0.207,-0.473,1.09
0.203,-0.457,1.078
0.215,-0.422,1.07
0.227,-0.371,1.043
0.227,-0.324,1.008
0.223,-0.32,0.953
0.223,-0.352,0.891
0.215,-0.375,0.836
0.18,-0.383,0.82
0.137,-0.402,0.832
0.109,-0.43,0.855
0.082,-0.453,0.875
0.074,-0.477,0.906
0.063,-0.473,0.938
0.051,-0.445,0.957
0.051,-0.422,0.969
0.059,-0.391,0.969
0.066,-0.395,0.953
0.066,-0.41,0.938
0.051,-0.422,0.922
0.031,-0.441,0.91
0.027,-0.453,0.898
0.016,-0.461,0.883
0.008,-0.473,0.867
0.0,-0.484,0.855
0.012,-0.492,0.84
