,0.066,-0.77,0.664
924,0.102,-0.719,1.098
925,0.035,-0.766,1.066
926,-0.008,-0.77,1.039
927,-0.035,-0.746,1.016
928,-0.027,-0.719,0.977
929,-0.023,-0.699,0.91
930,-0.004,-0.699,0.844
931,0.0,-0.695,0.785
932,-0.004,-0.672,0.738
933,-0.008,-0.652,0.699
934,-0.016,-0.625,0.668
935,-0.02,-0.605,0.645
936,-0.02,-0.598,0.633
937,-0.02,-0.609,0.621
938,-0.023,-0.629,0.609
939,-0.023,-0.652,0.609
940,-0.02,-0.664,0.613
941,-0.012,-0.676,0.617
942,0.004,-0.695,0.629
943,0.012,-0.707,0.637
944,0.004,-0.715,0.648
945,-0.012,-0.723,0.652
946,-0.035,-0.734,0.668
947,-0.047,-0.746,0.676
948,-0.047,-0.766,0.68
949,-0.047,-0.777,0.684
950,-0.051,-0.777,0.688
951,-0.059,-0.785,0.688
952,-0.059,-0.781,0.684
953,-0.055,-0.781,0.684
954,-0.055,-0.781,0.668
955,-0.055,-0.789,0.648
956,-0.07,-0.789,0.629
957,-0.074,-0.801,0.621
958,-0.063,-0.82,0.617
959,-0.051,-0.844,0.613
960,-0.035,-0.828,0.613
961,-0.027,-0.809,0.617
962,-0.023,-0.781,0.625
963,-0.031,-0.762,0.637
964,-0.027,-0.773,0.652
965,-0.023,-0.793,0.672
966,-0.023,-0.797,0.68
967,-0.035,-0.785,0.68
968,-0.047,-0.754,0.676
969,-0.063,-0.723,0.668
970,-0.07,-0.691,0.645
971,-0.059,-0.711,0.629
972,-0.008,-0.781,0.613
973,0.09,-0.852,0.613
974,0.23,-0.883,0.633
975,0.348,-0.879,0.668
976,0.395,-0.832,0.73
977,0.379,-0.797,0.82
978,0.348,-0.785,0.898
979,0.293,-0.754,0.973
980,0.234,-0.691,1.027
981,0.184,-0.617,1.059
982,0.133,-0.57,1.07
983,0.102,-0.582,1.039
984,0.113,-0.609,0.969
985,0.148,-0.617,0.898
986,0.188,-0.641,0.836
987,0.223,-0.672,0.781
988,0.266,-0.699,0.742
989,0.301,-0.711,0.727
990,0.324,-0.719,0.707
991,0.324,-0.734,0.688
992,0.309,-0.75,0.676
993,0.289,-0.734,0.672
994,0.27,-0.715,0.664
995,0.254,-0.672,0.66
996,0.25,-0.648,0.66
997,0.223,-0.645,0.641
998,0.207,-0.645,0.637
999,0.199,-0.656,0.637
1000,0.199,-0.66,0.645
1001,0.211,-0.664,0.648
1002,0.227,-0.68,0.648
1003,0.219,-0.711,0.641
1004,0.211,-0.723,0.629
1005,0.191,-0.734,0.617
1006,0.16,-0.734,0.613
1007,0.129,-0.727,0.605
1008,0.117,-0.719,0.59
1009,0.117,-0.715,0.563
1010,0.125,-0.723,0.551
1011,0.133,-0.75,0.539
1012,0.145,-0.777,0.531
1013,0.152,-0.793,0.531
1014,0.156,-0.785,0.559
1015,0.156,-0.785,0.594
1016,0.164,-0.793,0.613
1017,0.168,-0.77,0.633
1018,0.168,-0.727,0.676
1019,0.172,-0.695,0.707
1020,0.191,-0.676,0.723
1021,0.23,-0.656,0.723
1022,0.254,-0.629,0.715
1023,0.262,-0.598,0.707
1024,0.246,-0.633,0.691
1025,0.172,-0.754,0.66
1026,0.023,-0.887,0.613
1027,-0.168,-0.949,0.625
1028,-0.293,-0.945,0.68
1029,-0.277,-0.855,0.742
1030,-0.133,-0.762,0.875
1031,0.051,-0.73,0.992
1032,0.18,-0.734,1.047
1033,0.191,-0.758,1.063
1034,0.133,-0.805,1.059
1035,0.078,-0.859,1.039
1036,0.035,-0.852,1.012
1037,0.02,-0.809,0.969
1038,0.027,-0.77,0.91
1039,0.039,-0.738,0.836
1040,0.043,-0.723,0.75
1041,0.043,-0.715,0.684
1042,0.043,-0.691,0.637
1043,0.043,-0.668,0.609
1044,0.035,-0.645,0.594
1045,0.027,-0.637,0.586
1046,0.02,-0.664,0.586
1047,-0.004,-0.703,0.59
1048,-0.012,-0.719,0.594
1049,0.0,-0.723,0.598
1050,0.012,-0.711,0.609
1051,0.027,-0.707,0.621
1052,0.035,-0.707,0.625
1053,0.012,-0.719,0.633
1054,-0.023,-0.746,0.641
1055,-0.059,-0.781,0.645
1056,-0.07,-0.805,0.656
1057,-0.07,-0.816,0.66
1058,-0.07,-0.824,0.668
1059,-0.07,-0.832,0.664
1060,-0.066,-0.832,0.656
1061,-0.063,-0.832,0.637
1062,-0.074,-0.809,0.625
1063,-0.086,-0.797,0.617
1064,-0.086,-0.785,0.602
1065,-0.09,-0.762,0.59
1066,-0.098,-0.758,0.582
1067,-0.09,-0.773,0.57
1068,-0.082,-0.789,0.566
1069,-0.078,-0.801,0.574
1070,-0.074,-0.805,0.586
1071,-0.051,-0.801,0.594
1072,-0.043,-0.793,0.605
1073,-0.055,-0.773,0.613
1074,-0.063,-0.723,0.613
1075,-0.078,-0.684,0.609
1076,-0.086,-0.66,0.594
1077,-0.102,-0.699,0.586
1078,-0.059,-0.824,0.609
1079,0.066,-0.898,0.633
1080,0.242,-0.895,0.656
1081,0.379,-0.871,0.711
1082,0.445,-0.832,0.773
1083,0.449,-0.793,0.824
1084,0.41,-0.773,0.875
1085,0.332,-0.77,0.938
1086,0.238,-0.773,0.977
1087,0.184,-0.75,0.988
1088,0.164,-0.734,0.996
1089,0.172,-0.723,0.973
1090,0.195,-0.727,0.93
1091,0.215,-0.73,0.875
1092,0.227,-0.742,0.832
1093,0.234,-0.762,0.785
1094,0.246,-0.758,0.738
1095,0.242,-0.742,0.699
1096,0.238,-0.707,0.664
1097,0.219,-0.672,0.633
1098,0.195,-0.652,0.605
1099,0.18,-0.648,0.598
1100,0.172,-0.66,0.586
1101,0.156,-0.664,0.586
1102,0.152,-0.668,0.578
1103,0.148,-0.688,0.582
1104,0.16,-0.695,0.59
1105,0.164,-0.699,0.609
1106,0.172,-0.707,0.629
1107,0.191,-0.707,0.645
1108,0.199,-0.711,0.648
1109,0.199,-0.707,0.656
1110,0.191,-0.707,0.656
1111,0.191,-0.73,0.66
1112,0.211,-0.746,0.66
1113,0.227,-0.754,0.66
1114,0.227,-0.746,0.656
1115,0.219,-0.742,0.656
1116,0.223,-0.73,0.652
1117,0.234,-0.73,0.652
1118,0.238,-0.703,0.648
1119,0.234,-0.68,0.664
1120,0.219,-0.676,0.664
1121,0.211,-0.668,0.68
1122,0.203,-0.668,0.695
1123,0.199,-0.676,0.707
1124,0.195,-0.676,0.73
1125,0.195,-0.664,0.746
1126,0.195,-0.641,0.75
1127,0.184,-0.602,0.746
1128,0.191,-0.559,0.73
1129,0.199,-0.559,0.691
1130,0.176,-0.676,0.641
1131,0.051,-0.844,0.602
1132,-0.164,-0.914,0.637
1133,-0.367,-0.879,0.715
1134,-0.43,-0.801,0.816
1135,-0.293,-0.766,0.953
1136,-0.063,-0.734,1.086
1137,0.102,-0.68,1.18
1138,0.148,-0.68,1.195
1139,0.117,-0.75,1.156
1140,0.066,-0.816,1.113
1141,0.035,-0.82,1.047
1142,0.031,-0.801,0.988
1143,0.043,-0.754,0.938
1144,0.039,-0.699,0.879
1145,0.023,-0.664,0.809
1146,0.008,-0.66,0.742
1147,-0.012,-0.676,0.68
1148,-0.016,-0.676,0.641
1149,0.004,-0.676,0.625
1150,0.027,-0.672,0.617
1151,0.039,-0.672,0.617
1152,0.039,-0.684,0.613
1153,0.031,-0.676,0.598
1154,0.035,-0.664,0.602
1155,0.031,-0.648,0.609
1156,0.023,-0.652,0.621
1157,0.02,-0.668,0.633
1158,0.004,-0.684,0.645
1159,-0.016,-0.707,0.656
1160,-0.031,-0.73,0.664
1161,-0.039,-0.742,0.672
1162,-0.031,-0.742,0.672
1163,-0.039,-0.75,0.664
1164,-0.039,-0.766,0.652
1165,-0.043,-0.773,0.629
1166,-0.055,-0.789,0.609
1167,-0.078,-0.793,0.602
1168,-0.082,-0.809,0.594
1169,-0.086,-0.801,0.574
1170,-0.086,-0.785,0.578
1171,-0.086,-0.766,0.586
1172,-0.086,-0.75,0.598
1173,-0.086,-0.754,0.605
1174,-0.086,-0.758,0.625
1175,-0.086,-0.75,0.637
1176,-0.086,-0.73,0.648
1177,-0.102,-0.707,0.66
1178,-0.094,-0.688,0.66
1179,-0.094,-0.652,0.652
1180,-0.094,-0.641,0.633
1181,-0.094,-0.703,0.621
1182,-0.035,-0.871,0.641
1183,0.125,-0.961,0.648
1184,0.313,-0.957,0.668
1185,0.418,-0.938,0.727
1186,0.402,-0.926,0.781
1187,0.328,-0.902,0.82
1188,0.25,-0.867,0.883
1189,0.191,-0.832,0.945
1190,0.176,-0.781,0.996
1191,0.188,-0.734,1.027
1192,0.215,-0.707,1.031
1193,0.238,-0.691,1.012
1194,0.25,-0.672,0.973
1195,0.246,-0.645,0.918
1196,0.238,-0.641,0.855
1197,0.227,-0.652,0.789
