x_acc,y_acc,z_acc
0.238,-1.043,0.863
0.188,-0.93,0.797
0.145,-0.801,0.746
0.121,-0.707,0.73
0.125,-0.668,0.738
0.16,-0.684,0.75
0.199,-0.738,0.758
0.223,-0.789,0.766
0.207,-0.824,0.793
0.172,-0.832,0.805
0.129,-0.809,0.805
0.086,-0.777,0.801
0.051,-0.754,0.809
0.051,-0.723,0.805
0.07,-0.688,0.789
0.086,-0.656,0.75
0.109,-0.621,0.719
0.133,-0.594,0.684
0.148,-0.57,0.652
0.152,-0.57,0.621
0.152,-0.574,0.594
0.137,-0.582,0.57
0.125,-0.578,0.547
0.117,-0.57,0.531
0.109,-0.555,0.52
0.098,-0.547,0.516
0.086,-0.539,0.508
0.078,-0.527,0.512
0.082,-0.527,0.52
0.086,-0.535,0.531
0.098,-0.543,0.543
0.113,-0.566,0.555
0.125,-0.586,0.566
0.137,-0.602,0.566
0.145,-0.605,0.57
0.145,-0.605,0.578
0.141,-0.613,0.582
0.133,-0.625,0.586
0.125,-0.645,0.594
0.121,-0.66,0.598
0.109,-0.68,0.605
0.102,-0.695,0.617
0.109,-0.711,0.633
0.121,-0.727,0.648
0.145,-0.75,0.668
0.164,-0.754,0.668
0.176,-0.754,0.68
0.184,-0.738,0.699
0.184,-0.727,0.723
0.184,-0.73,0.742
0.18,-0.75,0.742
0.164,-0.758,0.746
0.152,-0.746,0.754
0.137,-0.738,0.781
0.145,-0.766,0.848
0.191,-0.852,0.941
0.277,-0.992,0.988
0.371,-1.125,1.0
0.43,-1.156,0.992
0.457,-1.09,0.965
0.461,-0.973,0.91
0.449,-0.84,0.848
0.422,-0.738,0.836
0.387,-0.684,0.855
0.355,-0.684,0.863
0.328,-0.73,0.855
0.313,-0.813,0.844
0.301,-0.871,0.84
0.305,-0.879,0.836
0.313,-0.832,0.832
0.316,-0.758,0.832
0.305,-0.676,0.828
0.285,-0.613,0.809
0.258,-0.582,0.785
0.234,-0.574,0.742
0.23,-0.57,0.699
0.227,-0.566,0.652
0.227,-0.566,0.617
0.238,-0.563,0.578
0.258,-0.555,0.551
0.27,-0.551,0.531
0.273,-0.551,0.516
0.27,-0.547,0.496
0.266,-0.547,0.488
0.25,-0.543,0.473
0.242,-0.531,0.473
0.234,-0.516,0.477
0.238,-0.516,0.488
0.242,-0.527,0.496
0.242,-0.535,0.496
0.25,-0.551,0.508
0.254,-0.57,0.52
0.266,-0.586,0.527
0.266,-0.594,0.531
0.281,-0.602,0.535
0.281,-0.602,0.531
0.277,-0.598,0.535
0.27,-0.598,0.539
0.262,-0.602,0.551
0.27,-0.605,0.57
0.281,-0.629,0.586
0.289,-0.652,0.605
0.289,-0.676,0.621
0.285,-0.695,0.648
0.281,-0.715,0.68
0.281,-0.738,0.707
0.273,-0.762,0.719
0.273,-0.758,0.719
0.273,-0.715,0.723
0.293,-0.664,0.754
0.332,-0.66,0.789
0.371,-0.711,0.816
0.379,-0.809,0.813
0.355,-0.887,0.832
0.32,-0.941,0.879
0.301,-1.0,0.93
0.285,-1.082,0.926
0.262,-1.141,0.871
0.223,-1.105,0.793
0.168,-0.988,0.754
0.141,-0.867,0.754
0.148,-0.801,0.785
0.176,-0.809,0.797
0.207,-0.848,0.797
0.227,-0.875,0.805
0.219,-0.871,0.824
0.199,-0.84,0.832
0.164,-0.793,0.828
0.129,-0.754,0.813
0.098,-0.727,0.801
0.086,-0.707,0.777
0.09,-0.684,0.738
0.094,-0.66,0.691
0.098,-0.629,0.648
0.109,-0.609,0.617
0.125,-0.598,0.586
0.125,-0.598,0.555
0.125,-0.598,0.535
0.109,-0.613,0.512
0.098,-0.621,0.508
0.086,-0.617,0.5
0.07,-0.613,0.496
0.063,-0.613,0.5
0.047,-0.609,0.508
0.055,-0.605,0.512
0.063,-0.59,0.512
0.07,-0.578,0.523
0.09,-0.57,0.531
0.105,-0.582,0.539
0.117,-0.598,0.551
0.125,-0.609,0.555
0.121,-0.621,0.555
0.109,-0.633,0.563
0.098,-0.637,0.566
0.098,-0.645,0.57
0.102,-0.652,0.57
0.102,-0.66,0.582
0.109,-0.668,0.59
0.105,-0.68,0.602
0.102,-0.691,0.613
0.121,-0.703,0.621
0.141,-0.715,0.625
0.16,-0.727,0.629
0.176,-0.73,0.652
0.195,-0.738,0.676
0.207,-0.766,0.703
0.223,-0.801,0.719
0.215,-0.809,0.723
0.188,-0.777,0.738
0.148,-0.727,0.766
0.117,-0.695,0.809
0.113,-0.727,0.84
0.137,-0.801,0.867
0.188,-0.891,0.953
0.262,-1.02,1.043
0.352,-1.176,1.066
0.422,-1.262,1.012
0.445,-1.184,0.938
0.441,-1.004,0.867
0.438,-0.813,0.805
