,-0.066,-0.848,0.574
3879,0.055,-0.836,0.57
3880,0.055,-0.84,0.57
3881,0.047,-0.855,0.574
3882,0.043,-0.879,0.574
3883,0.031,-0.891,0.574
3884,0.031,-0.883,0.582
3885,0.035,-0.863,0.586
3886,0.039,-0.852,0.582
3887,0.043,-0.852,0.578
3888,0.039,-0.863,0.57
3889,0.031,-0.863,0.559
3890,0.027,-0.855,0.547
3891,0.027,-0.848,0.539
3892,0.023,-0.844,0.535
3893,0.027,-0.844,0.531
3894,0.023,-0.844,0.523
3895,0.023,-0.848,0.516
3896,0.02,-0.852,0.508
3897,0.02,-0.855,0.508
3898,0.02,-0.852,0.508
3899,0.023,-0.852,0.504
3900,0.031,-0.855,0.504
3901,0.035,-0.855,0.504
3902,0.031,-0.855,0.504
3903,0.031,-0.855,0.504
3904,0.027,-0.859,0.508
3905,0.027,-0.863,0.5
3906,0.027,-0.863,0.504
3907,0.031,-0.859,0.504
3908,0.016,-0.859,0.5
3909,0.023,-0.867,0.508
3910,0.023,-0.867,0.512
3911,0.02,-0.859,0.52
3912,0.012,-0.855,0.531
3913,0.0,-0.848,0.531
3914,0.004,-0.844,0.539
3915,-0.004,-0.84,0.535
3916,-0.004,-0.836,0.531
3917,-0.004,-0.832,0.516
3918,0.0,-0.844,0.5
3919,-0.004,-0.867,0.48
3920,-0.008,-0.918,0.461
3921,-0.027,-1.0,0.449
3922,-0.059,-1.09,0.461
3923,-0.102,-1.113,0.496
3924,-0.145,-1.051,0.539
3925,-0.168,-0.984,0.578
3926,-0.176,-0.945,0.598
3927,-0.18,-0.953,0.605
3928,-0.188,-0.98,0.598
3929,-0.195,-1.027,0.586
3930,-0.195,-1.027,0.578
3931,-0.188,-1.0,0.586
3932,-0.176,-0.969,0.586
3933,-0.148,-0.949,0.578
3934,-0.121,-0.918,0.566
3935,-0.102,-0.887,0.566
3936,-0.102,-0.863,0.563
3937,-0.105,-0.852,0.566
3938,-0.105,-0.852,0.57
3939,-0.109,-0.848,0.57
3940,-0.117,-0.84,0.574
3941,-0.117,-0.82,0.586
3942,-0.113,-0.793,0.594
3943,-0.117,-0.766,0.594
3944,-0.113,-0.75,0.602
3945,-0.117,-0.754,0.602
3946,-0.117,-0.77,0.605
3947,-0.117,-0.789,0.617
3948,-0.117,-0.801,0.625
3949,-0.121,-0.801,0.621
3950,-0.121,-0.809,0.629
3951,-0.125,-0.813,0.641
3952,-0.129,-0.816,0.637
3953,-0.133,-0.828,0.633
3954,-0.121,-0.844,0.625
3955,-0.113,-0.859,0.621
3956,-0.098,-0.859,0.613
3957,-0.09,-0.855,0.613
